phoneme,word
AA,bark
AA,odd
AA,olive
AA,rock
AE,ab
AE,at
AE,hack
AE,map
AE,track
AH,hut
AH,olive
AH,porridge
AH,the
AH,theater
AH,theta
AO,chore
AO,horse
AO,ought
AO,porch
AO,porridge
AW,cow
AY,hide
B,ab
B,bark
B,be
B,beer
B,break
CH,cheese
CH,chore
CH,porch
D,Ed
D,dee
D,hide
D,hood
D,odd
D,read
D,yield
DH,the
DH,thee
EH,Ed
EH,read
ER,hurt
ER,seizure
ER,theater
EY,ate
EY,break
EY,theta
F,fee
G,green
G,green
HH,hack
HH,hide
HH,hood
HH,horse
HH,hurt
HH,hut
IH,beer
IH,it
IH,ping
IY,be
IY,cheese
IY,dee
IY,eat
IY,fee
IY,gee
IY,green
IY,green
IY,key
IY,knee
IY,lee
IY,me
IY,pee
IY,sea
IY,seizure
IY,she
IY,tea
IY,theater
IY,thee
IY,vee
IY,we
IY,weak
IY,yield
IY,zee
JH,gee
JH,porridge
K,bark
K,break
K,cow
K,hack
K,key
K,rock
K,track
K,weak
L,lee
L,olive
L,yield
M,map
M,me
N,green
N,green
N,knee
NG,ping
OW,oat
OY,toy
P,map
P,pee
P,ping
P,poop
P,poop
P,porch
P,porridge
R,bark
R,beer
R,break
R,chore
R,green
R,green
R,horse
R,porch
R,porridge
R,read
R,rock
R,track
S,horse
S,sea
S,seizure
SH,she
T,at
T,ate
T,eat
T,hurt
T,hut
T,it
T,oat
T,ought
T,tea
T,theater
T,theta
T,toy
T,track
T,two
TH,theater
TH,theta
UH,hood
UW,poop
UW,two
V,olive
V,vee
W,we
W,weak
Y,yield
Z,cheese
Z,zee
ZH,seizure
